Rule ID,CORE-ID,IG Version,ADaM Structure Group,Description,Rule Category,Status Rule,Assigned To,PR Link,Notes
AD0588,,"1.2, 1.3",BDS,"Within a parameter, there is more than one value of PBCHGCAy for a given value of PBCHGCyN, considering only those rows on which both variables are populated",,,,,
AD0589,,"1.2, 1.3",BDS,"Within a parameter, there is more than one value of PBCHGCyN for a given value of PBCHGCAy, considering only those rows on which both variables are populated",,,,,
AD0590,,"1.2, 1.3",ADSL:ALL,A variable is present with the same name as a variable present in ADSL but the variables do not have identical data types,,,,,
AD0591,,"1.2, 1.3",ADSL:ALL,A variable is present with the same name as a variable present in ADSL but the variables do not have identical values for a given value of USUBJID.,,,,,
AD0592,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, the value of APERSDT is not equal to the value of variable APxxSDT where xx equals the value of APERIOD",,,,,
AD0593,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, the value of APERSTM is not equal to the value of variable APxxSTM where xx equals the value of APERIOD",,,,,
AD0594,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, the value of APERSDTM is not equal to the value of variable APxxSDTM where xx equals the value of APERIOD",,,,,
AD0595,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, the value of APEREDT is not equal to the value of variable APxxEDT where xx equals the value of APERIOD",,,,,
AD0596,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, the value of APERETM is not equal to the value of variable APxxETM where xx equals the value of APERIOD",,,,,
AD0597,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, the value of APEREDTM is not equal to the value of variable APxxEDTM where xx equals the value of APERIOD",,,,,
AD0598,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, the value of ASPRSDT is not equal to the value of variable PxxSwSDT where xx equals the value of APERIOD and w equals the value of ASPER",,,,,
AD0599,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, the value of ASPRSTM is not equal to the value of variable PxxSwSTM where xx equals the value of APERIOD and w equals the value of ASPER",,,,,
AD0600,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, the value of ASPRSDTM is not equal to the value of variable PxxSwSDM where xx equals the value of APERIOD and w equals the value of ASPER",,,,,
AD0601,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, the value of ASPREDT is not equal to the value of variable PxxSwEDT where xx equals the value of APERIOD and w equals the value of ASPER",,,,,
AD0602,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, the value of ASPRETM is not equal to the value of variable PxxSwETM where xx equals the value of APERIOD and w equals the value of ASPER",,,,,
AD0603,,"1.2, 1.3",BDS; OCCDS; BDS:ADSL; OCCDS:ADSL,"On a given record, the value of ASPREDTM is not equal to the value of variable PxxSwEDM where xx equals the value of APERIOD and w equals the value of ASPER",,,,,
