Rule ID,SDTMIG Version,,,Status,CORE-ID
CG0112,3.2,3.3,3.4,PUBLISHED,CORE-000094
CG0114,3.2,3.3,3.4,PUBLISHED,CORE-000093
CG0115,3.2,3.3,3.4,PUBLISHED,CORE-000096
CG0116,3.2,3.3,3.4,PUBLISHED,CORE-000098
CG0117,3.2,,,PUBLISHED,CORE-000367
CG0118,3.2,,,PUBLISHED,CORE-000367
CG0119,3.2,,,PUBLISHED,CORE-000530
CG0120,3.2,,,PUBLISHED,CORE-000368
CG0121,3.2,,,PUBLISHED,CORE-000368
CG0122,3.2,,,PUBLISHED,CORE-000330
CG0123,3.2,3.3,3.4,PUBLISHED,CORE-000185
CG0124,3.2,,,PUBLISHED,CORE-000331
CG0125,3.2,,,PUBLISHED,CORE-000331
CG0126,3.2,,,PUBLISHED,CORE-000531
CG0127,3.2,,,PUBLISHED,CORE-000543
CG0128,3.2,,,PUBLISHED,CORE-000531
CG0129,3.2,3.3,3.4,PUBLISHED,CORE-000377
CG0131,3.2,3.3,3.4,PUBLISHED,CORE-000006
CG0132,3.2,3.3,3.4,PUBLISHED,CORE-000008
CG0133,3.2,3.3,3.4,PUBLISHED,CORE-000108
CG0134,3.2,3.3,3.4,PUBLISHED,CORE-000254
CG0135,3.2,3.3,3.4,PUBLISHED,CORE-000253
CG0136,3.2,3.3,3.4,PUBLISHED,CORE-000252
CG0138,3.2,,,PUBLISHED,CORE-000533
CG0140,3.2,3.3,3.4,PUBLISHED,CORE-000337
CG0141,3.2,,,PUBLISHED,CORE-000369
CG0142,3.2,,,PUBLISHED,CORE-000378
CG0143,3.2,3.3,3.4,PUBLISHED,CORE-000370
CG0145,3.2,,,PUBLISHED,CORE-000379
CG0146,3.2,,,PUBLISHED,CORE-000380
CG0147,3.2,3.3,3.4,PUBLISHED,CORE-000238
CG0148,3.2,3.3,3.4,PUBLISHED,CORE-000239
CG0149,3.2,3.3,3.4,PUBLISHED,CORE-000088
CG0150,3.2,3.3,3.4,PUBLISHED,CORE-000186
CG0151,3.2,3.3,3.4,PUBLISHED,CORE-000351
CG0152,3.2,3.3,3.4,PUBLISHED,CORE-000009
CG0153,3.2,3.3,3.4,PUBLISHED,CORE-000010
CG0154,3.2,3.3,3.4,PUBLISHED,CORE-000132
CG0155,3.2,3.3,,DRAFT,CDISC.SDTMIG.CG0155
CG0156,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0156
CG0157,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0157
CG0158,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0158
CG0159,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0159
CG0160,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0160
CG0161,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0161
CG0162,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0162
CG0163,3.2,3.3,3.4,PUBLISHED,CORE-000158
CG0164,3.2,3.3,3.4,PUBLISHED,CORE-000090
CG0166,3.2,3.3,3.4,PUBLISHED,CORE-000017
CG0167,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0167
CG0168,3.2,3.3,3.4,PUBLISHED,CORE-000187
CG0169,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0169
CG0171,3.2,3.3,3.4,PUBLISHED,CORE-000259
CG0172,3.2,3.3,3.4,PUBLISHED,CORE-000178
CG0173,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0173
CG0174,3.2,3.3,3.4,PUBLISHED,CORE-000744
CG0175,3.2,3.3,3.4,PUBLISHED,CORE-000011
CG0176,3.2,3.3,3.4,PUBLISHED,CORE-000001
CG0177,3.2,3.3,3.4,PUBLISHED,CORE-000025
CG0178,3.2,3.3,3.4,PUBLISHED,CORE-000227
CG0179,3.2,3.3,3.4,PUBLISHED,CORE-000228
CG0180,3.2,3.3,3.4,PUBLISHED,CORE-000290
CG0181,3.2,3.3,3.4,PUBLISHED,CORE-000289
CG0182,3.2,3.3,3.4,PUBLISHED,CORE-000298
CG0183,3.2,3.3,3.4,PUBLISHED,CORE-000299
CG0184,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0184
CG0185,3.2,3.3,3.4,PUBLISHED,CORE-000169
CG0186,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0186
CG0187,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0187
CG0188,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0188
CG0189,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0189
CG0190,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0190
CG0191,3.2,3.3,3.4,PUBLISHED,CORE-000188
CG0192,3.2,,,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0192
CG0193,3.2,3.3,3.4,PUBLISHED,CORE-000332
CG0196,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0196
CG0197,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0197
CG0198,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0198
CG0200,3.2,3.3,3.4,PUBLISHED,CORE-000484
CG0201,3.2,3.3,3.4,PUBLISHED,CORE-000136
CG0202,3.2,3.3,,PUBLISHED,CORE-000375
CG0203,3.2,3.3,3.4,PUBLISHED,CORE-000134
CG0204,3.2,3.3,3.4,PUBLISHED,CORE-000135
CG0205,3.2,3.3,3.4,PUBLISHED,CORE-000293
CG0206,3.2,3.3,3.4,PUBLISHED,CORE-000020
CG0207,3.2,3.3,3.4,PUBLISHED,CORE-000352
CG0208,3.2,3.3,3.4,PUBLISHED,CORE-000002
CG0209,3.2,3.3,3.4,PUBLISHED,CORE-000527
CG0210,3.2,3.3,3.4,PUBLISHED,CORE-000256
CG0211,3.2,3.3,3.4,PUBLISHED,CORE-000095
CG0213,3.2,3.3,,PUBLISHED,CORE-000842
CG0214,3.2,3.3,,PUBLISHED,CORE-000843
CG0215,3.2,3.3,,PUBLISHED,CORE-000333
CG0216,3.2,3.3,,PUBLISHED,CORE-000501
CG0217,3.2,3.3,3.4,PUBLISHED,CORE-000784
CG0218,3.2,3.3,3.4,PUBLISHED,CORE-000097
CG0219,3.2,3.3,3.4,PUBLISHED,CORE-000575
CG0220,3.2,3.3,3.4,PUBLISHED,CORE-000552
CG0221,3.2,3.3,3.4,PUBLISHED,CORE-000138
CG0222,3.2,3.3,3.4,PUBLISHED,CORE-000553
CG0223,3.2,3.3,3.4,PUBLISHED,CORE-000139
CG0225,3.2,3.3,3.4,PUBLISHED,CORE-000140
CG0226,3.2,3.3,3.4,PUBLISHED,CORE-000262
CG0227,3.2,3.3,3.4,PUBLISHED,CORE-000177
CG0232,3.2,3.3,3.4,PUBLISHED,CORE-000763
CG0233,3.2,3.3,3.4,PUBLISHED,CORE-000710
CG0234,3.2,3.3,3.4,PUBLISHED,CORE-000324
CG0235,3.2,3.3,3.4,PUBLISHED,CORE-000572
CG0236,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0236
CG0237,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0237
CG0238,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0238
CG0240,3.2,3.3,3.4,PUBLISHED,CORE-000141
CG0241,3.2,3.3,3.4,PUBLISHED,CORE-000142
CG0244,3.2,,,PUBLISHED,CORE-000371
CG0246,3.2,3.3,3.4,PUBLISHED,CORE-000143
CG0247,3.2,3.3,3.4,PUBLISHED,CORE-000144
CG0248,3.2,3.3,3.4,PUBLISHED,CORE-000534
CG0249,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0249
CG0250,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0250
CG0251,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0251
CG0252,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0252
CG0253,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0253
CG0254,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0254
CG0255,3.2,3.3,3.4,PUBLISHED,CORE-000145
CG0256,3.2,3.3,3.4,PUBLISHED,CORE-000146
CG0257,3.2,3.3,3.4,PUBLISHED,CORE-000147
CG0258,3.2,3.3,3.4,PUBLISHED,CORE-000148
CG0259,3.2,3.3,3.4,PUBLISHED,CORE-000149
CG0260,3.2,3.3,3.4,PUBLISHED,CORE-000150
CG0261,3.2,3.3,3.4,PUBLISHED,CORE-000151
CG0262,3.2,3.3,3.4,PUBLISHED,CORE-000582
CG0265,3.2,3.3,3.4,PUBLISHED,CORE-000152
CG0266,3.2,3.3,3.4,PUBLISHED,CORE-000153
CG0267,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0267
CG0268,3.2,3.3,3.4,PUBLISHED,CORE-000154
CG0269,3.2,3.3,,PUBLISHED,CORE-000372
CG0270,3.2,3.3,3.4,PUBLISHED,CORE-000294
CG0271,3.2,3.3,,PUBLISHED,CORE-000373
CG0272,3.2,3.3,,PUBLISHED,CORE-000473
CG0273,3.2,3.3,,PUBLISHED,CORE-000562
CG0275,3.2,3.3,,PUBLISHED,CORE-000532
CG0276,3.2,3.3,,PUBLISHED,CORE-000468
CG0277,3.2,3.3,,PUBLISHED,CORE-000469
CG0278,3.2,3.3,,PUBLISHED,CORE-000470
CG0279,3.2,3.3,,PUBLISHED,CORE-000497
CG0280,3.2,3.3,,PUBLISHED,CORE-000335
CG0281,3.2,3.3,,PUBLISHED,CORE-000733
CG0282,3.2,3.3,,PUBLISHED,CORE-000563
CG0283,3.2,3.3,,PUBLISHED,CORE-000504
CG0284,3.2,3.3,,PUBLISHED,CORE-000587
CG0285,3.2,3.3,,PUBLISHED,CORE-000505
CG0286,3.2,3.3,,PUBLISHED,CORE-000506
CG0287,3.2,3.3,,PUBLISHED,CORE-000740
CG0288,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0288
CG0289,3.2,3.3,3.4,PUBLISHED,CORE-000761
CG0291,3.2,3.3,3.4,PUBLISHED,CORE-000787
CG0293,3.2,3.3,3.4,PUBLISHED,CORE-000155
CG0294,3.2,3.3,3.4,PUBLISHED,CORE-000156
CG0295,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0295
CG0296,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0296
CG0297,3.2,3.3,3.4,PUBLISHED,CORE-000157
CG0298,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0298
CG0299,3.2,3.3,3.4,PUBLISHED,CORE-000003
CG0300,3.2,3.3,3.4,PUBLISHED,CORE-000078
CG0301,3.2,3.3,3.4,PUBLISHED,CORE-000077
CG0302,3.2,3.3,3.4,PUBLISHED,CORE-000076
CG0303,3.2,,,PUBLISHED,CORE-000398
CG0304,3.2,3.3,3.4,PUBLISHED,CORE-000075
CG0307,3.2,3.3,3.4,PUBLISHED,CORE-000179
CG0308,3.2,3.3,3.4,PUBLISHED,CORE-000180
CG0309,3.2,3.3,3.4,PUBLISHED,CORE-000181
CG0310,3.2,3.3,3.4,PUBLISHED,CORE-000182
CG0311,3.2,3.3,3.4,PUBLISHED,CORE-000019
CG0312,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0312
CG0313,3.2,,,PUBLISHED,CORE-000585
CG0314,3.2,3.3,3.4,PUBLISHED,CORE-000783
CG0318,3.2,3.3,3.4,PUBLISHED,CORE-000183
CG0320,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0320
CG0321,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0321
CG0322,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0322
CG0323,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0323
CG0324,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0324
CG0325,3.2,3.3,3.4,PUBLISHED,CORE-000580
CG0328,3.2,3.3,3.4,PUBLISHED,CORE-000027
CG0329,3.2,3.3,3.4,PUBLISHED,CORE-000027
CG0330,3.2,3.3,,PUBLISHED,CORE-000852
CG0332,3.2,3.3,3.4,PUBLISHED,CORE-000539
CG0333,3.2,3.3,3.4,PUBLISHED,CORE-000540
CG0334,3.2,3.3,3.4,PUBLISHED,CORE-000538
CG0336,3.2,3.3,3.4,PUBLISHED,CORE-000272
CG0337,3.2,3.3,3.4,PUBLISHED,CORE-000196
CG0338,3.2,3.3,3.4,PUBLISHED,CORE-000195
CG0339,3.2,3.3,3.4,PUBLISHED,CORE-000197
CG0340,3.2,3.3,3.4,PUBLISHED,CORE-000198
CG0341,3.2,3.3,3.4,PUBLISHED,CORE-000159
CG0342,3.2,3.3,3.4,PUBLISHED,CORE-000160
CG0343,3.2,3.3,3.4,PUBLISHED,CORE-000161
CG0344,3.2,3.3,3.4,PUBLISHED,CORE-000162
CG0345,3.2,3.3,3.4,PUBLISHED,CORE-000163
CG0346,3.2,3.3,3.4,PUBLISHED,CORE-000164
CG0347,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0347
CG0348,3.2,3.3,3.4,PUBLISHED,CORE-000200
CG0349,3.2,3.3,3.4,PUBLISHED,CORE-000376
CG0350,3.2,3.3,3.4,PUBLISHED,CORE-000219
CG0351,3.2,3.3,3.4,PUBLISHED,CORE-000550
CG0351,,3.3,,DRAFT,CDISC.SDTMIG.CG0013-1
CG0352,3.2,3.3,3.4,PUBLISHED,CORE-000226
CG0353,3.2,3.3,3.4,PUBLISHED,CORE-000242
CG0354,3.2,3.3,3.4,PUBLISHED,CORE-000243
CG0355,3.2,3.3,3.4,PUBLISHED,CORE-000244
CG0356,3.2,3.3,3.4,PUBLISHED,CORE-000174
CG0357,3.2,3.3,3.4,PUBLISHED,CORE-000175
CG0358,3.2,3.3,3.4,PUBLISHED,CORE-000176
CG0359,3.2,3.3,3.4,PUBLISHED,CORE-000594
CG0361,3.2,3.3,3.4,PUBLISHED,CORE-000229
CG0362,3.2,3.3,3.4,PUBLISHED,CORE-000230
CG0363,3.2,3.3,3.4,PUBLISHED,CORE-000231
CG0364,3.2,3.3,3.4,PUBLISHED,CORE-000232
CG0365,3.2,3.3,3.4,PUBLISHED,CORE-000233
CG0366,3.2,3.3,3.4,PUBLISHED,CORE-000234
CG0367,3.2,3.3,3.4,PUBLISHED,CORE-000235
CG0368,3.2,3.3,3.4,PUBLISHED,CORE-000581
CG0369,3.2,3.3,3.4,PUBLISHED,CORE-000502
CG0370,3.2,3.3,3.4,PUBLISHED,CORE-000953; CORE-000916; CORE-000712
CG0371,3.2,3.3,3.4,PUBLISHED,CORE-000206
CG0372,3.2,3.3,3.4,PUBLISHED,CORE-000541; CORE-000220
CG0373,3.2,3.3,3.4,PUBLISHED,CORE-000457
CG0374,3.2,3.3,3.4,PUBLISHED,CORE-000384
CG0375,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0375
CG0376,3.2,3.3,3.4,PUBLISHED,CORE-000779
CG0377,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0377
CG0378,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0378
CG0379,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0379
CG0380,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0380
CG0381,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0381
CG0382,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0382
CG0383,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0383
CG0384,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0384
CG0385,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0385
CG0386,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0386
CG0387,3.2,3.3,3.4,PUBLISHED,CORE-000087
CG0388,3.2,3.3,3.4,PUBLISHED,CORE-000123
CG0389,3.2,3.3,3.4,PUBLISHED,CORE-000124
CG0390,3.2,3.3,3.4,PUBLISHED,CORE-000125
CG0391,3.2,3.3,3.4,PUBLISHED,CORE-000126
CG0392,3.2,3.3,3.4,PUBLISHED,CORE-000127
CG0393,3.2,3.3,3.4,PUBLISHED,CORE-000128
CG0394,3.2,3.3,3.4,PUBLISHED,CORE-000129
CG0395,3.2,3.3,3.4,PUBLISHED,CORE-000130
CG0396,3.2,3.3,3.4,PUBLISHED,CORE-000131
CG0397,3.2,3.3,3.4,PUBLISHED,CORE-000021
CG0398,3.2,,,PUBLISHED,CORE-000586
