Rule ID,FDA Business Rule,SDTMIG Version,,,SENDIG Version,,,,,,,Status,CORE-ID,Rule Author (name),Status Rule,Partially Executable?,Overreporting or Underreporting?,Details,,,,
FB7401,FDAB074, , , ,x,x,x,x,x,x,x,NOT EXECUTABLE,/,,,,,,,,,
FB7501,FDAB075, , , ,x,x,x,x,x,x,x,NOT EXECUTABLE,/,,,,,,,,,
FB7601,FDAB076, , , ,x,x,x,x,x,x,x,OPEN,/,,,,,,,,,
FB7602,FDAB076, , , ,x,x,x,x,x,x,x,OPEN,/,,,,,,,,,
FB7701,FDAB077, , , ,x,x,x,x,x,x,x,NOT EXECUTABLE,/,,,,,,,,,
FB7801,FDAB078, , , ,x,x,x,x,x,x,x,NOT EXECUTABLE,/,,,,,,,,,
FB7901,FDAB079, , , ,x,x,x,x,x,x,x,NOT EXECUTABLE,/,,,,,,,,,
FB8001,FDAB080, , , ,x,x,x,x,x,x,x,OPEN,/,,,,,,,,,
FB8101,FDAB081, , , ,x,x,x,x,x,x,x,NOT EXECUTABLE,/,,,,,,,,,
FB8201,FDAB082, , , ,x, , , , , , ,OPEN,/,,,,,,,,,
FB8202,FDAB082, , , , ,x,x,x,x,x,x,DRAFT,FDA.SENDIG.FB8202,,,,,,,,,
FB8301,FDAB083, , , ,x,x,x,x,x,x,x,NOT EXECUTABLE,/,,,,,,,,,
FB8401,FDAB084, , , ,x,x,x,x,x,x,x,NOT EXECUTABLE,/,,,,,,,,,
FB8501,FDAB085, , , ,x,x,x,x,x,x,x,PUBLISHED,CORE-000618,,,,,,,,,
FB8601,FDAB086, , , ,x,x,x,x,x,x,x,PUBLISHED,CORE-000645,,,,,,,,,
FB8602,FDAB086, , , ,x,x,x,x,x,x,x,PUBLISHED,CORE-000648,,,,,,,,,
TRC1734a,TRC1734,x,x,x,x,x,x,x,x,x,x,DRAFT,FDA.TRC1734a,,,,,,,,,
TRC1734b,TRC1734,x,x,x, , , , , , , ,DRAFT,FDA.TRC1734b,,,,,,,,,
TRC1734c,TRC1734,x,x,x, , , , , , , ,PUBLISHED,CORE-000505,,,,,,,,,
TRC1734d,TRC1734, , , ,x,x,x,x,x,x,x,OPEN,/,,,,,,,,,
TRC1734e,TRC1734, , , ,x,x,x,x,x,x,x,OPEN,/,,,,,,,,,
TRC1735a,TRC1735,x,x,x, , , , , , , ,OPEN,/,,,,,,,,,
TRC1735b,TRC1735,x,x,x, , , , , , , ,OPEN,/,,,,,,,,,
TRC1736a,TRC1736,x,x,x, , , , , , , ,PUBLISHED,CORE-000581,,,,,,,,,
TRC1736b,TRC1736,x,x,x, , , , , , , ,OPEN,/,,,,,,,,,
TRC1736c,TRC1736, , , ,x,x,x,x,x,x,x,PUBLISHED,CORE-000581,,,,,,,,,
TRC1736d,TRC1736, , , ,x,x,x,x,x,x,x,OPEN,/,,,,,,,,,
TRC1737,TRC1737,x,x,x,x,x,x,x,x,x,x,OPEN,/,,,,,,,,,
