Rule ID,FDA Business Rule,SDTMIG Version,,,SENDIG Version,,,,,,,Status,CORE-ID,Rule Author (name),Status Rule,Partially Executable?,Overreporting or Underreporting?,Details,,,,
FB1101,FDAB011,x,x,x,x,x,x,x,x,x,x,DRAFT,FDA.SDTMIG.FB1101,,,,,,,,,
FB1102,FDAB011,x,x,x,,,,,,,,DRAFT,CORE-000737,,,,,,,,,
FB1103,FDAB011,,,,,,,,,,,,,,,,,,,,,
FB1104,FDAB011,,,,,,,,,,,,,,,,,,,,,
FB1105,FDAB011,,,,,,,,,,,,,,,,,,,,,
FB1106,FDAB011,,,,,,,,,,,,,,,,,,,,,
FB1107,FDAB011,,,,,,,,,,,,,,,,,,,,,
FB1108,FDAB011,,,,,,,,,,,,,,,,,,,,,
FB1109,FDAB011,,,,,,,,,,,,,,,,,,,,,
FB110n,FDAB011,,,,,,,,,,,,,,,,,,,,,
FB1110,FDAB011,,,,,,,,,,,,,,,,,,,,,
FB1111,FDAB011,,,,,,,,,,,,,,,,,,,,,
FB1112,FDAB011,,,,,,,,,,,,,,,,,,,,,
FB1113,FDAB011,x,x,x,,,,,,,,DRAFT,FDA.SDTMIG.FB1113,Maximo Lopez (YetiGonk),PR RAISED,,,,,,,
FB1114,FDAB011,x,x,x,,,,,,,,DRAFT,FDA.SDTMIG.FB1114,Maximo Lopez (YetiGonk),PR RAISED,,,,,,,
FB1115,FDAB011,,,,,,,,,,,,,,,,,,,,,
FB1116,FDAB011,,,,,,,,,,,,,,,,,,,,,
FB1117,FDAB011,,,,,,,,,,,,,,,,,,,,,
FB1118,FDAB011,,,,,,,,,,,,,,,,,,,,,
FB1119,FDAB011,,,,,,,,,,,,,,,,,,,,,
FB1401,FDAB014,x,x,x,,,,,,,,PUBLISHED,CORE-000522,,,,,,,,,
FB1501,FDAB015,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000867,,,,,,,,,
FB1502,FDAB015,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000890,,,,,,,,,
FB1601,FDAB016,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000793,,,,,,,,,
FB1602,FDAB016,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000853,,,,,,,,,
FB1603,FDAB016,x,x,x,x,x,x,x,x,x,x,PUBLISHED,CORE-000529,Els Janssens,IN PROGRESS,,,,,,,
FB1701,FDAB017,x,x,x,x,x,x,x,x,x,x,DRAFT,CDISC.SENDIG.296,,,,,,,,,
FB1702,FDAB017,x,x,x,x,x,x,x,x,x,x,OPEN,/,,,,,,,,,
FB1703,FDAB017,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
