Rule ID,SDTMIG Version,,,Status,CORE-ID
FB2501,3.2,3.3,3.4,PUBLISHED,CORE-000655
FB2502,3.2,,,PUBLISHED,CORE-000656
FB2503,,3.3,3.4,DRAFT,FDA.SDTMIG.FB2503
FB2504,3.2,,,PUBLISHED,CORE-000748
FB2505,,3.3,3.4,PUBLISHED,CORE-000790
FB2601,3.2,3.3,3.4,PUBLISHED,CORE-000643
FB2602,,3.3,3.4,PUBLISHED,CORE-000105
FB2603,3.2,3.3,3.4,PUBLISHED,CORE-000914
FB2604,,3.3,3.4,PUBLISHED,CORE-000915
FB3001,3.2,3.3,3.4,PUBLISHED,CORE-000699
FB3101,3.2,3.3,3.4,PUBLISHED,CORE-000863
FB3102,3.2,3.3,3.4,PUBLISHED,CORE-000542
FB3103,3.2,3.3,3.4,PUBLISHED,CORE-000732
FB3201,3.2,3.3,3.4,PUBLISHED,CORE-000321
FB3202,3.2,3.3,3.4,PUBLISHED,CORE-000328
FB3203,3.2,3.3,3.4,PUBLISHED,CORE-000776
FB3204,3.2,3.3,3.4,PUBLISHED,CORE-000700
FB3205,3.2,3.3,3.4,PUBLISHED,CORE-000862
FB3206,3.2,3.3,3.4,PUBLISHED,CORE-000864
FB3207,3.2,3.3,3.4,PUBLISHED,CORE-000708
FB3208,3.2,3.3,3.4,PUBLISHED,CORE-000707
FB3209,3.2,3.3,3.4,PUBLISHED,CORE-000718
FB3210,3.2,3.3,3.4,PUBLISHED,CORE-000866
FB3211,3.2,3.3,3.4,DRAFT,FDA.SDTMIG.FB3211
FB3212,3.2,3.3,3.4,DRAFT,
FB3213,3.2,3.3,3.4,DRAFT,
FB3214,3.2,3.3,3.4,DRAFT,
FB3401,3.2,3.3,3.4,PUBLISHED,CORE-000717
FB3402,3.2,3.3,3.4,DRAFT,FDA.SDTMIG.FB3402
FB3403,3.2,3.3,3.4,DRAFT,FDA.SDTMIG.FB3403
FB3404,3.2,3.3,3.4,PUBLISHED,CORE-000711
FB3405,3.2,3.3,3.4,DRAFT,FDA.SDTMIG.FB3405
FB3406,3.2,3.3,3.4,PUBLISHED,CORE-000720
FB3407,3.2,3.3,3.4,PUBLISHED,CORE-000952
FB3408,3.2,3.3,3.4,PUBLISHED,CORE-000714
FB3409,3.2,3.3,3.4,PUBLISHED,CORE-000657
FB3410,3.2,3.3,3.4,PUBLISHED,CORE-000659
FB3411,3.2,3.3,3.4,PUBLISHED,CORE-000713
FB3412,3.2,3.3,3.4,PUBLISHED,CORE-000658
FB3413,,,3.4,PUBLISHED,CORE-000760
FB3601,3.2,3.3,3.4,PUBLISHED,CORE-000516
FB3701,3.2,3.3,3.4,PUBLISHED,CORE-000165
FB3702,3.2,3.3,3.4,PUBLISHED,CORE-000248
FB3801,3.2,3.3,3.4,DRAFT,FDA.SDTMIG.FB3801
FB3901,3.2,3.3,3.4,PUBLISHED,CORE-000672
FB3902,3.2,3.3,3.4,PUBLISHED,CORE-000889
FB4001,3.2,3.3,3.4,PUBLISHED,CORE-000310
FB4002,3.2,3.3,3.4,PUBLISHED,CORE-000308
FB4003,3.2,3.3,3.4,PUBLISHED,CORE-000517
FB4004,3.2,3.3,3.4,PUBLISHED,CORE-000518
FB4005,3.2,3.3,3.4,PUBLISHED,CORE-000305
FB4006,3.2,3.3,3.4,PUBLISHED,CORE-000880
FB4201,3.2,3.3,3.4,PUBLISHED,CORE-000675
FB4202,3.2,3.3,3.4,PUBLISHED,CORE-000774
FB4301,3.2,3.3,3.4,PUBLISHED,CORE-000892
FB4302,3.2,3.3,3.4,DRAFT,
FB4303,3.2,3.3,3.4,DRAFT,
FB4304,,,3.4,DRAFT,
FB4401,3.2,3.3,3.4,PUBLISHED,CORE-000257
FB4402,3.2,3.3,3.4,PUBLISHED,CORE-000265
FB4403,3.2,3.3,3.4,PUBLISHED,CORE-000616
FB4404,3.2,3.3,3.4,PUBLISHED,CORE-000642
FB4405,3.2,3.3,3.4,PUBLISHED,CORE-000865
FB4601,,,,DRAFT,
FB4602,,,,PUBLISHED,CORE-000770
FB4603,,,,PUBLISHED,CORE-000891
FB4604,,,,PUBLISHED,CORE-000893
FB4605,,,,PUBLISHED,CORE-000894
FB4606,,,,PUBLISHED,CORE-000895
FB4607,,,,PUBLISHED,CORE-000993
FB4608,,,,PUBLISHED,CORE-000888
FB4701,,,,PUBLISHED,CORE-000881
FB4702,,,,DRAFT,FDA.SENDIG.FB4702
FB4703,,,,PUBLISHED,CORE-000882
FB4901,,,,PUBLISHED,CORE-000620
FB5001,,,,PUBLISHED,CORE-000342
FB5101,,,,PUBLISHED,CORE-000641
FB5102,,,,PUBLISHED,CORE-000640
FB5103,,,,PUBLISHED,CORE-000639
FB5104,,,,PUBLISHED,CORE-000638
FB5105,,,,PUBLISHED,CORE-000637
FB5106,,,,PUBLISHED,CORE-000636
FB5107,,,,PUBLISHED,CORE-000635
FB5108,,,,PUBLISHED,CORE-000634
FB5109,,,,PUBLISHED,CORE-000633
FB5110,,,,PUBLISHED,CORE-000631
FB5111,,,,PUBLISHED,CORE-000632
FB5112,,,,PUBLISHED,CORE-000649
FB5113,,,,PUBLISHED,CORE-000661
